PERMNO,HTICK,HCOMNAM
10104,ORCL,ORACLE CORP
10107,MSFT,MICROSOFT CORP
10138,TROW,T ROWE PRICE GROUP INC
10145,HON,HONEYWELL INTERNATIONAL INC
10516,ADM,ARCHER DANIELS MIDLAND CO
10696,FISV,FISERV INC
11308,KO,COCA COLA CO
11403,CDNS,CADENCE DESIGN SYSTEMS INC
11404,ED,CONSOLIDATED EDISON INC
11600,XRAY,DENTSPLY SIRONA INC
11618,FAST,FASTENAL CO
11674,DTE,D T E ENERGY CO
11762,ETN,EATON CORP PLC
11786,SIVB,S V B FINANCIAL GROUP
11850,XOM,EXXON MOBIL CORP
11891,MGM,M G M RESORTS INTERNATIONAL
11955,WM,WASTE MANAGEMENT INC DEL
12052,GD,GENERAL DYNAMICS CORP
12060,GE,GENERAL ELECTRIC CO
12062,LH,LABORATORY CORP AMERICA HLDGS
12084,NXPI,N X P SEMICONDUCTORS N V
12308,CHTR,CHARTER COMMUNICATIONS INC NEW
12345,LYB,LYONDELLBASELL INDUSTRIES N V
12369,GM,GENERAL MOTORS CO
12431,TT,TRANE TECHNOLOGIES PLC
12448,FRC,FIRST REPUBLIC BANK S F NEW
12449,FLT,FLEETCOR TECHNOLOGIES INC
12476,TRGP,TARGA RESOURCES CORP
12490,IBM,INTERNATIONAL BUSINESS MACHS COR
12558,KMI,KINDER MORGAN INC
12622,HCA,H C A HEALTHCARE INC
12623,HII,HUNTINGTON INGALLS INDS INC
12872,MPC,MARATHON PETROLEUM CORP
13035,XYL,XYLEM INC
13103,APTV,APTIV PLC
13210,EPAM,EPAM SYSTEMS INC
13323,ENPH,ENPHASE ENERGY INC
13356,PSX,PHILLIPS 66
13407,META,META PLATFORMS INC
13447,NOW,SERVICENOW INC
13586,PNR,PENTAIR PLC
13641,FANG,DIAMONDBACK ENERGY INC
13688,PCG,P G & E CORP
13721,ABBV,ABBVIE INC
13760,NCLH,NORWEGIAN CRUISE LINE HLDGS LTD
13788,ZTS,ZOETIS INC
13856,PEP,PEPSICO INC
13901,MO,ALTRIA GROUP INC
13911,IQV,IQVIA HOLDINGS INC
13928,COP,CONOCOPHILLIPS
13949,CDW,C D W CORP NEW
13963,NWSA,NEWS CORP NEW
13964,NWS,NEWS CORP NEW
14008,AMGN,AMGEN INC
14277,SLB,SCHLUMBERGER LTD
14297,ALLE,ALLEGION PLC
14338,HLT,HILTON WORLDWIDE HOLDINGS INC
14541,CVX,CHEVRON CORP NEW
14542,GOOG,ALPHABET INC
14579,PAYC,PAYCOM SOFTWARE INC
14593,AAPL,APPLE INC
14702,AMAT,APPLIED MATERIALS INC
14714,ANET,ARISTA NETWORKS INC
14763,CTLT,CATALENT INC
14776,SYF,SYNCHRONY FINANCIAL
14882,CZR,CAESARS ENTERTAINMENT INC DE
14889,CFG,CITIZENS FINANCIAL GROUP INC
14939,KEYS,KEYSIGHT TECHNOLOGIES INC
15069,MRO,MARATHON OIL CORP
15202,VMC,VULCAN MATERIALS CO
15272,SEDG,SOLAREDGE TECHNOLOGIES INC
15291,ETSY,ETSY INC
15408,KHC,KRAFT HEINZ CO
15488,PYPL,PAYPAL HOLDINGS INC
15579,TXN,TEXAS INSTRUMENTS INC
15707,HPE,HEWLETT PACKARD ENTERPRISE CO
15720,EIX,EDISON INTERNATIONAL
15850,MTCH,MATCH GROUP INC NEW
16087,FTV,FORTIVE CORP
16431,LW,LAMB WESTON HOLDINGS INC
16581,INVH,INVITATION HOMES INC
16600,HSY,HERSHEY CO
16678,KR,KROGER CO
16692,IR,INGERSOLL RAND INC
16851,DD,DUPONT DE NEMOURS INC
17005,CVS,C V S HEALTH CORP
17144,GIS,GENERAL MILLS INC
17307,VICI,VICI PROPERTIES INC
17478,SPGI,S & P GLOBAL INC
17700,CDAY,CERIDIAN H C M HOLDING INC
17743,WRB,BERKLEY W R CORP
17750,KMB,KIMBERLY CLARK CORP
17830,RTX,RAYTHEON TECHNOLOGIES CORP
17942,KDP,KEURIG DR PEPPER INC
18143,LIN,LINDE PLC
18163,PG,PROCTER & GAMBLE CO
18312,MRNA,MODERNA INC
18411,SO,SOUTHERN CO
18420,FOXA,FOX CORP
18421,FOX,FOX CORP
18428,DOW,DOW INC
18542,CAT,CATERPILLAR INC
18592,CTVA,CORTEVA INC
18724,AMCR,AMCOR PLC
18729,CL,COLGATE PALMOLIVE CO
19166,FMC,F M C CORP
19285,CARR,CARRIER GLOBAL CORP
19286,OTIS,OTIS WORLDWIDE CORP
19350,DE,DEERE & CO
19393,BMY,BRISTOL MYERS SQUIBB CO
19502,WBA,WALGREENS BOOTS ALLIANCE INC
19561,BA,BOEING CO
19583,IVZ,INVESCO LTD
20057,VTRS,VIATRIS INC
20482,ABT,ABBOTT LABORATORIES
21020,AAL,AMERICAN AIRLINES GROUP INC
21124,OGN,ORGANON & CO
21178,LMT,LOCKHEED MARTIN CORP
21186,WRK,WESTROCK CO
21207,NEM,NEWMONT CORP
21371,CAH,CARDINAL HEALTH INC
21573,IP,INTERNATIONAL PAPER CO
21776,EXC,EXELON CORP
21792,CNP,CENTERPOINT ENERGY INC
21936,PFE,PFIZER INC
22103,EMR,EMERSON ELECTRIC CO
22111,JNJ,JOHNSON & JOHNSON
22293,GLW,CORNING INC
22509,PPG,P P G INDUSTRIES INC
22517,PPL,P P L CORP
22592,MMM,3M CO
22623,CEG,CONSTELLATION ENERGY CORP
22752,MRK,MERCK & CO INC NEW
22779,MSI,MOTOROLA SOLUTIONS INC
22976,WBD,WARNER BROS DISCOVERY INC
23026,FE,FIRSTENERGY CORP
23229,CMS,C M S ENERGY CORP
23393,CHD,CHURCH & DWIGHT INC
23473,CINF,CINCINNATI FINANCIAL CORP
23536,WEC,W E C ENERGY GROUP INC
23579,TXT,TEXTRON INC
23660,CTAS,CINTAS CORP
23712,PEG,PUBLIC SERVICE ENTERPRISE GP INC
23819,HAL,HALLIBURTON CO
23931,XEL,X C E L ENERGY INC
24010,ETR,ENTERGY CORP NEW
24053,EVRG,EVERGY INC
24109,AEP,AMERICAN ELECTRIC POWER CO INC
24205,NEE,NEXTERA ENERGY INC
24328,EQT,E Q T CORP
24643,HWM,HOWMET AEROSPACE INC
24766,NOC,NORTHROP GRUMMAN CORP
24985,AEE,AMEREN CORP
25081,CMA,COMERICA INC
25232,OKE,ONEOK INC NEW
25320,CPB,CAMPBELL SOUP CO
25419,WHR,WHIRLPOOL CORP
25582,LHX,L3HARRIS TECHNOLOGIES INC
25785,F,FORD MOTOR CO DEL
25953,DOV,DOVER CORP
26403,DIS,DISNEY WALT CO
26710,L,LOEWS CORP
26825,K,KELLOGG CO
27828,HPQ,H P INC
27887,BAX,BAXTER INTERNATIONAL INC
27959,DUK,DUKE ENERGY CORP NEW
27991,PNW,PINNACLE WEST CAPITAL CORP
28222,APD,AIR PRODUCTS & CHEMICALS INC
28388,VNO,VORNADO REALTY TRUST
28484,HES,HESS CORP
28804,ALK,ALASKA AIRGROUP INC
29946,BFB,BROWN FORMAN CORP
30681,OMC,OMNICOM GROUP INC
32870,HRL,HORMEL FOODS CORP
32986,ATO,ATMOS ENERGY CORP
34032,MAS,MASCO CORP
34746,FITB,FIFTH THIRD BANCORP
34817,NUE,NUCOR CORP
34833,OXY,OCCIDENTAL PETROLEUM CORP
35044,RF,REGIONS FINANCIAL CORP NEW
35554,MTB,M & T BANK CORP
36003,ROL,ROLLINS INC
36468,SHW,SHERWIN WILLIAMS CO
37584,BEN,FRANKLIN RESOURCES INC
38093,AJG,GALLAGHER ARTHUR J & CO
38156,WMB,WILLIAMS COS
38703,WFC,WELLS FARGO & CO NEW
38762,NI,NISOURCE INC
39490,APA,A P A CORP
39642,BDX,BECTON DICKINSON & CO
39917,WY,WEYERHAEUSER CO
40125,DXC,D X C TECHNOLOGY CO
40272,IFF,INTERNATIONAL FLAVORS & FRAG INC
40539,TJX,T J X COMPANIES INC NEW
41080,CMI,CUMMINS INC
41355,PH,PARKER HANNIFIN CORP
42200,PKI,PERKINELMER INC
42585,SJM,SMUCKER J M CO
42877,JBHT,HUNT J B TRANSPORT SERVICES INC
42906,HBAN,HUNTINGTON BANCSHARES INC
43350,SWK,STANLEY BLACK & DECKER INC
43449,MCD,MCDONALDS CORP
43553,VFC,V F CORP
44206,ES,EVERSOURCE ENERGY
44329,TFX,TELEFLEX INC
44601,AVY,AVERY DENNISON CORP
44644,ADP,AUTOMATIC DATA PROCESSING INC
45356,JCI,JOHNSON CONTROLS INTL PLC
45751,MMC,MARSH & MCLENNAN COS INC
45911,SWKS,SKYWORKS SOLUTIONS INC
46578,CLX,CLOROX CO
46674,GPC,GENUINE PARTS CO
46703,HST,HOST HOTELS & RESORTS INC
46886,KLAC,K L A CORP
47896,JPM,JPMORGAN CHASE & CO
48486,LRCX,LAM RESH CORP
48506,MCO,MOODYS CORP
48653,HUM,HUMANA INC
48725,UNP,UNION PACIFIC CORP
49015,LNC,LINCOLN NATIONAL CORP
49154,TGT,TARGET CORP
49656,BK,BANK OF NEW YORK MELLON CORP
49680,DHR,DANAHER CORP
50876,LLY,LILLY ELI & CO
51369,TER,TERADYNE INC
52038,SYY,SYSCO CORP
52090,MKC,MCCORMICK & CO INC
52230,RHI,ROBERT HALF INTERNATIONAL INC
52329,J,JACOBS SOLUTIONS INC
52476,EFX,EQUIFAX INC
52695,GWW,GRAINGER W W INC
52708,LEN,LENNAR CORP
52978,HAS,HASBRO INC
53065,IPG,INTERPUBLIC GROUP COS INC
53613,MU,MICRON TECHNOLOGY INC
54148,PHM,PULTE GROUP INC
55976,WMT,WALMART INC
56274,CAG,CONAGRA BRANDS INC
56573,ITW,ILLINOIS TOOL WORKS INC
57568,BALL,BALL CORP
57665,NKE,NIKE INC
57809,NDSN,NORDSON CORP
57904,AFL,AFLAC INC
58246,NTRS,NORTHERN TRUST CORP
58413,FRT,FEDERAL REALTY INVESTMENT TR NEW
58683,LUV,SOUTHWEST AIRLINES CO
58819,LNT,ALLIANT ENERGY CORP
59176,AXP,AMERICAN EXPRESS CO
59248,TAP,MOLSON COORS BEVERAGE CO
59300,UDR,U D R INC
59328,INTC,INTEL CORP
59408,BAC,BANK OF AMERICA CORP
59459,TRV,TRAVELERS COMPANIES INC
60097,MDT,MEDTRONIC PLC
60206,SNA,SNAP ON INC
60442,PNC,P N C FINANCIAL SERVICES GRP INC
60506,PCAR,PACCAR INC
60599,LUMN,LUMEN TECHOLOGIES INC
60628,FDX,FEDEX CORP
60871,ADI,ANALOG DEVICES INC
60986,NWL,NEWELL BRANDS INC
61241,AMD,ADVANCED MICRO DEVICES INC
61399,LOW,LOWES COMPANIES INC
61516,BIO,BIO RAD LABORATORIES INC
61621,PAYX,PAYCHEX INC
61735,AON,AON PLC NEW
62092,TMO,THERMO FISHER SCIENTIFIC INC
62148,CSX,C S X CORP
62308,GL,GLOBE LIFE INC
62498,WST,WEST PHARMACEUTICAL SERVICES INC
63467,BRO,BROWN & BROWN INC
64186,CI,CIGNA CORP NEW
64282,BBWI,BATH & BODY WORKS INC
64311,NSC,NORFOLK SOUTHERN CORP
