TICKER,PERMNO,NCUSIP,sdate,edate,SCORE
003H,14579,70432V10,2014-05-15,2022-12-30,1
004W,14714,04041310,2014-06-19,2022-12-30,1
00C6,14939,49338L10,2014-11-20,2022-12-30,1
00WY,15850,57665R10,2015-12-17,2020-06-30,1
00WY,15850,57667L10,2020-07-16,2022-12-30,1
02J8,18724,G0250X10,2019-06-20,2022-12-30,1
AA,24643,02224910,1976-01-15,1999-01-03,1
AA,24643,01381710,1999-01-14,2016-10-05,1
AA,24643,01381750,2016-10-20,2016-10-31,1
AA,24643,03965L10,2016-11-17,2020-03-31,1
AA,24643,44320110,2020-04-16,2022-12-30,1
AAPL,14593,03783310,1981-08-20,2022-12-30,1
AAPS,89217,00751Y10,2002-01-17,2022-12-30,1
ABBV,13721,00287Y10,2013-01-02,2022-12-30,1
ABT,20482,00282410,1976-01-15,2022-12-30,1
ACAD,85631,05276910,1986-01-16,2022-12-30,1
ACCO,59248,21701610,1976-06-17,2005-02-08,1
ACCO,59248,60871R20,2005-02-17,2022-12-30,1
ACL1,79057,G0070K10,1993-06-17,2008-07-17,1
ACL1,79057,H0023R10,2008-08-14,2016-01-14,1
ACL1,79057,H1467J10,2016-02-18,2022-12-30,1
ACNT,89071,G1150G11,2001-09-20,2009-08-31,1
ACNT,89071,G1151C10,2009-09-17,2022-12-30,1
ADBE,75510,00724F10,1986-10-16,2022-12-30,1
ADI,60871,03265410,1976-01-15,2022-12-30,1
ADM,10516,03948310,1976-07-15,2022-12-30,1
AEP,24109,02553710,1976-01-15,2022-12-30,1
AESC,76712,00130H10,1992-01-16,2022-12-30,1
AFL,57904,02587010,1976-04-15,1992-01-01,1
AFL,57904,00105510,1992-01-16,2022-12-30,1
AHA,45911,02075310,1979-09-20,2002-06-25,1
AHA,45911,83088M10,2002-07-18,2022-12-30,1
AHC,28484,02355110,1976-01-15,2006-05-08,1
AHC,28484,42809H10,2006-05-18,2022-12-30,1
AIG,66800,02687410,1976-01-15,2009-06-30,1
AIG,66800,02687478,2009-07-16,2022-12-30,1
AIZI,90038,04621X10,2004-02-19,2022-12-30,1
AJGC,38093,36357610,1984-10-18,2022-12-30,1
AKAM,87299,00971T10,1999-12-16,2022-12-30,1
ALB1,80191,01265310,1994-03-17,2022-12-30,1
ALD,48733,01441910,1976-01-15,1976-03-14,5
ALD,10145,01908710,1981-04-28,1984-03-14,5
ALD,10145,01951210,1985-09-19,1999-12-01,1
ALD,10145,43851610,1999-12-16,2022-12-30,1
ALEE,14297,G0176J10,2013-12-19,2022-12-30,1
